Approved symbol	Locus group	Ensembl gene ID
RPL31P56	pseudogene	ENSG00000240760
RPL31P57	pseudogene	ENSG00000256358
RPL31P58	pseudogene	ENSG00000243053
RPL31P59	pseudogene	ENSG00000240364
RPL31P6	pseudogene	
RPL31P60	pseudogene	ENSG00000239988
RPL31P61	pseudogene	ENSG00000243297
RPL31P62	pseudogene	
RPL31P63	pseudogene	ENSG00000236735
RPL31P7	pseudogene	ENSG00000232083
RPL31P8	pseudogene	
RPL31P9	pseudogene	ENSG00000264054
RPL32	protein-coding gene	ENSG00000144713
RPL32P1	pseudogene	ENSG00000224796
RPL32P10	pseudogene	ENSG00000213157
RPL32P11	pseudogene	ENSG00000213872
RPL32P12	pseudogene	ENSG00000242209
RPL32P13	pseudogene	ENSG00000241002
RPL32P14	pseudogene	ENSG00000242654
RPL32P15	pseudogene	ENSG00000213461
RPL32P16	pseudogene	ENSG00000219747
RPL32P17	pseudogene	ENSG00000213210
RPL32P18	pseudogene	ENSG00000146677
RPL32P19	pseudogene	ENSG00000226836
RPL32P2	pseudogene	ENSG00000243094
RPL32P20	pseudogene	ENSG00000243537
RPL32P21	pseudogene	ENSG00000125385
RPL32P22	pseudogene	ENSG00000213529
RPL32P23	pseudogene	ENSG00000214015
RPL32P24	pseudogene	ENSG00000241020
RPL32P25	pseudogene	ENSG00000242993
RPL32P26	pseudogene	ENSG00000241941
RPL32P27	pseudogene	ENSG00000239617
RPL32P28	pseudogene	ENSG00000232105
RPL32P29	pseudogene	ENSG00000244270
RPL32P3	pseudogene	ENSG00000251474
RPL32P30	pseudogene	ENSG00000241130
RPL32P31	pseudogene	ENSG00000213128
RPL32P32	pseudogene	ENSG00000241157
RPL32P33	pseudogene	ENSG00000243514
RPL32P34	pseudogene	ENSG00000239524
RPL32P35	pseudogene	ENSG00000223995
RPL32P36	pseudogene	ENSG00000189145
RPL32P4	pseudogene	ENSG00000243761
RPL32P5	pseudogene	ENSG00000236325
RPL32P6	pseudogene	ENSG00000224064
RPL32P7	pseudogene	ENSG00000243396
RPL32P8	pseudogene	ENSG00000240246
RPL32P9	pseudogene	ENSG00000241143
RPL34	protein-coding gene	ENSG00000109475
RPL34-DT	non-coding RNA	ENSG00000234492
RPL34P1	pseudogene	ENSG00000237049
RPL34P10	pseudogene	
RPL34P11	pseudogene	
RPL34P12	pseudogene	
RPL34P13	pseudogene	
RPL34P14	pseudogene	
RPL34P15	pseudogene	
RPL34P16	pseudogene	
RPL34P17	pseudogene	ENSG00000240534
RPL34P18	pseudogene	ENSG00000240509
RPL34P19	pseudogene	ENSG00000230240
RPL34P2	pseudogene	
RPL34P20	pseudogene	ENSG00000231508
RPL34P21	pseudogene	ENSG00000244451
RPL34P22	pseudogene	ENSG00000244267
RPL34P23	pseudogene	ENSG00000243669
RPL34P24	pseudogene	
RPL34P25	pseudogene	
RPL34P26	pseudogene	ENSG00000223676
RPL34P27	pseudogene	ENSG00000232858
RPL34P28	pseudogene	
RPL34P29	pseudogene	ENSG00000244551
RPL34P3	pseudogene	ENSG00000223671
RPL34P30	pseudogene	
RPL34P31	pseudogene	ENSG00000239223
RPL34P32	pseudogene	
RPL34P33	pseudogene	ENSG00000241282
RPL34P34	pseudogene	ENSG00000236312
RPL34P35	pseudogene	
RPL34P36	pseudogene	ENSG00000270446
RPL34P4	pseudogene	
RPL34P5	pseudogene	
RPL34P6	pseudogene	ENSG00000231333
RPL34P7	pseudogene	
RPL34P8	pseudogene	ENSG00000237583
RPL34P9	pseudogene	
RPL35	protein-coding gene	ENSG00000136942
RPL35A	protein-coding gene	ENSG00000182899
RPL35AP	pseudogene	ENSG00000234075
RPL35AP10	pseudogene	ENSG00000243687
RPL35AP11	pseudogene	ENSG00000241103
RPL35AP12	pseudogene	ENSG00000227283
RPL35AP13	pseudogene	ENSG00000242602
RPL35AP14	pseudogene	ENSG00000240436
RPL35AP15	pseudogene	ENSG00000243758
RPL35AP16	pseudogene	ENSG00000239602
RPL35AP17	pseudogene	ENSG00000239317
RPL35AP18	pseudogene	ENSG00000220311
RPL35AP19	pseudogene	ENSG00000239872
RPL35AP2	pseudogene	ENSG00000227383
RPL35AP20	pseudogene	ENSG00000232946
RPL35AP21	pseudogene	ENSG00000229814
RPL35AP22	pseudogene	ENSG00000235133
RPL35AP23	pseudogene	ENSG00000264217
RPL35AP24	pseudogene	ENSG00000230166
RPL35AP26	pseudogene	ENSG00000243607
RPL35AP27	pseudogene	ENSG00000244743
RPL35AP28	pseudogene	ENSG00000242041
RPL35AP29	pseudogene	ENSG00000244540
RPL35AP3	pseudogene	ENSG00000230350
RPL35AP30	pseudogene	ENSG00000226729
RPL35AP31	pseudogene	ENSG00000233460
RPL35AP32	pseudogene	ENSG00000243404
RPL35AP33	pseudogene	ENSG00000241334
RPL35AP34	pseudogene	ENSG00000241932
RPL35AP35	pseudogene	ENSG00000239256
RPL35AP36	pseudogene	ENSG00000224856
RPL35AP37	pseudogene	ENSG00000236929
RPL35AP4	pseudogene	ENSG00000225644
RPL35AP5	pseudogene	ENSG00000223505
RPL35AP6	pseudogene	ENSG00000228879
RPL35AP7	pseudogene	ENSG00000225487
RPL35AP8	pseudogene	ENSG00000235787
RPL35AP9	pseudogene	ENSG00000243675
RPL35P1	pseudogene	ENSG00000237991
RPL35P2	pseudogene	ENSG00000220583
RPL35P3	pseudogene	ENSG00000219902
RPL35P4	pseudogene	ENSG00000213783
RPL35P5	pseudogene	ENSG00000225573
RPL35P6	pseudogene	ENSG00000244018
RPL35P7	pseudogene	
RPL35P8	pseudogene	ENSG00000226142
RPL35P9	pseudogene	ENSG00000174418
RPL36	protein-coding gene	ENSG00000130255
RPL36A	protein-coding gene	ENSG00000241343
RPL36A-HNRNPH2	other	ENSG00000257529
RPL36AL	protein-coding gene	ENSG00000165502
RPL36AP1	pseudogene	
RPL36AP10	pseudogene	ENSG00000237959
RPL36AP11	pseudogene	
RPL36AP12	pseudogene	
RPL36AP13	pseudogene	ENSG00000233747
RPL36AP14	pseudogene	ENSG00000233335
RPL36AP15	pseudogene	ENSG00000235369
RPL36AP16	pseudogene	ENSG00000232228
RPL36AP17	pseudogene	
RPL36AP18	pseudogene	
RPL36AP19	pseudogene	
RPL36AP2	pseudogene	
RPL36AP20	pseudogene	
RPL36AP21	pseudogene	ENSG00000240785
RPL36AP23	pseudogene	
RPL36AP24	pseudogene	
RPL36AP25	pseudogene	
RPL36AP26	pseudogene	ENSG00000235828
RPL36AP27	pseudogene	
RPL36AP28	pseudogene	
RPL36AP29	pseudogene	ENSG00000224683
RPL36AP30	pseudogene	
RPL36AP31	pseudogene	
RPL36AP32	pseudogene	
RPL36AP33	pseudogene	ENSG00000235619
RPL36AP34	pseudogene	
RPL36AP35	pseudogene	ENSG00000231810
RPL36AP36	pseudogene	ENSG00000237540
RPL36AP37	pseudogene	
RPL36AP38	pseudogene	
RPL36AP39	pseudogene	ENSG00000230980
RPL36AP4	pseudogene	
RPL36AP40	pseudogene	ENSG00000240298
RPL36AP41	pseudogene	ENSG00000242087
RPL36AP42	pseudogene	
RPL36AP43	pseudogene	ENSG00000241362
RPL36AP44	pseudogene	
RPL36AP45	pseudogene	ENSG00000240366
RPL36AP46	pseudogene	
RPL36AP47	pseudogene	
RPL36AP48	pseudogene	ENSG00000213180
RPL36AP49	pseudogene	
RPL36AP5	pseudogene	
RPL36AP50	pseudogene	
RPL36AP51	pseudogene	ENSG00000242291
RPL36AP53	pseudogene	ENSG00000224664
RPL36AP54	pseudogene	ENSG00000226107
RPL36AP55	pseudogene	ENSG00000226016
RPL36AP6	pseudogene	ENSG00000231293
RPL36AP7	pseudogene	
RPL36AP8	pseudogene	
RPL36AP9	pseudogene	
RPL36P1	pseudogene	ENSG00000230636
RPL36P10	pseudogene	
RPL36P11	pseudogene	
RPL36P12	pseudogene	
RPL36P13	pseudogene	
RPL36P14	pseudogene	
RPL36P15	pseudogene	
RPL36P16	pseudogene	ENSG00000224476
RPL36P17	pseudogene	
RPL36P18	pseudogene	ENSG00000235656
RPL36P19	pseudogene	ENSG00000232540
RPL36P2	pseudogene	ENSG00000231302
RPL36P20	pseudogene	ENSG00000234270
RPL36P3	pseudogene	
RPL36P4	pseudogene	ENSG00000224497
RPL36P5	pseudogene	
RPL36P6	pseudogene	
RPL36P7	pseudogene	
RPL36P8	pseudogene	
RPL36P9	pseudogene	
RPL37	protein-coding gene	ENSG00000145592
RPL37A	protein-coding gene	ENSG00000197756
RPL37A-DT	non-coding RNA	ENSG00000232485
RPL37AP1	pseudogene	ENSG00000226243
RPL37AP2	pseudogene	
RPL37AP3	pseudogene	
RPL37AP4	pseudogene	
RPL37AP5	pseudogene	
RPL37AP6	pseudogene	
RPL37AP7	pseudogene	
RPL37AP8	pseudogene	ENSG00000176343
RPL37AP9	pseudogene	
RPL37P1	pseudogene	ENSG00000227401
RPL37P10	pseudogene	ENSG00000224627
RPL37P11	pseudogene	ENSG00000225024
RPL37P12	pseudogene	ENSG00000237916
RPL37P13	pseudogene	ENSG00000233702
RPL37P14	pseudogene	
RPL37P15	pseudogene	ENSG00000216365
RPL37P16	pseudogene	
RPL37P17	pseudogene	
RPL37P18	pseudogene	ENSG00000229235
RPL37P19	pseudogene	
RPL37P2	pseudogene	ENSG00000239559
RPL37P20	pseudogene	
RPL37P21	pseudogene	ENSG00000236433
RPL37P22	pseudogene	
RPL37P23	pseudogene	ENSG00000243680
RPL37P24	pseudogene	ENSG00000224949
RPL37P25	pseudogene	ENSG00000251597
RPL37P3	pseudogene	ENSG00000215369
RPL37P4	pseudogene	ENSG00000230198
RPL37P5	pseudogene	
RPL37P6	pseudogene	ENSG00000241431
RPL37P7	pseudogene	
RPL37P8	pseudogene	
RPL37P9	pseudogene	
RPL38	protein-coding gene	ENSG00000172809
RPL38P1	pseudogene	ENSG00000241993
RPL38P2	pseudogene	ENSG00000237077
RPL38P3	pseudogene	ENSG00000244422
RPL38P4	pseudogene	ENSG00000250562
RPL38P5	pseudogene	ENSG00000235579
RPL38P6	pseudogene	ENSG00000224291
RPL39	protein-coding gene	ENSG00000198918
RPL39L	protein-coding gene	ENSG00000163923
RPL39P	pseudogene	ENSG00000228601
RPL39P10	pseudogene	
RPL39P11	pseudogene	
RPL39P12	pseudogene	
RPL39P13	pseudogene	
RPL39P14	pseudogene	ENSG00000224463
RPL39P15	pseudogene	ENSG00000231414
RPL39P16	pseudogene	ENSG00000227470
RPL39P17	pseudogene	
RPL39P18	pseudogene	ENSG00000229468
RPL39P19	pseudogene	
RPL39P2	pseudogene	
RPL39P20	pseudogene	
RPL39P21	pseudogene	
RPL39P22	pseudogene	
RPL39P23	pseudogene	
RPL39P24	pseudogene	
RPL39P25	pseudogene	ENSG00000227271
RPL39P26	pseudogene	ENSG00000240454
RPL39P27	pseudogene	
RPL39P28	pseudogene	ENSG00000244432
RPL39P29	pseudogene	ENSG00000236860
RPL39P3	pseudogene	ENSG00000235174
RPL39P30	pseudogene	
RPL39P31	pseudogene	ENSG00000242176
RPL39P32	pseudogene	
RPL39P33	pseudogene	ENSG00000243058
RPL39P34	pseudogene	ENSG00000242255
RPL39P35	pseudogene	
RPL39P36	pseudogene	ENSG00000239912
RPL39P37	pseudogene	
RPL39P38	pseudogene	ENSG00000241464
RPL39P39	pseudogene	ENSG00000231005
RPL39P4	pseudogene	
RPL39P40	pseudogene	ENSG00000226580
RPL39P41	pseudogene	
RPL39P5	pseudogene	ENSG00000214289
RPL39P6	pseudogene	ENSG00000238173
RPL39P7	pseudogene	
RPL39P8	pseudogene	
RPL39P9	pseudogene	
RPL3L	protein-coding gene	ENSG00000140986
RPL3P1	pseudogene	ENSG00000228149
RPL3P10	pseudogene	ENSG00000243095
RPL3P11	pseudogene	ENSG00000223568
RPL3P12	pseudogene	ENSG00000232496
RPL3P13	pseudogene	ENSG00000258013
RPL3P2	pseudogene	ENSG00000227939
RPL3P3	pseudogene	ENSG00000243388
RPL3P4	pseudogene	ENSG00000232573
RPL3P5	pseudogene	ENSG00000231546
RPL3P6	pseudogene	ENSG00000213891
RPL3P7	pseudogene	ENSG00000225093
RPL3P8	pseudogene	ENSG00000232199
RPL3P9	pseudogene	ENSG00000240540
RPL4	protein-coding gene	ENSG00000174444
RPL41	protein-coding gene	ENSG00000229117
RPL41P1	pseudogene	ENSG00000227063
RPL41P2	pseudogene	ENSG00000256338
RPL41P3	pseudogene	
RPL41P4	pseudogene	
RPL41P5	pseudogene	ENSG00000256393
RPL41P6	pseudogene	
RPL41P7	pseudogene	
RPL4P1	pseudogene	ENSG00000240954
RPL4P2	pseudogene	ENSG00000232341
RPL4P3	pseudogene	ENSG00000230364
RPL4P4	pseudogene	ENSG00000229638
RPL4P5	pseudogene	ENSG00000230207
RPL4P6	pseudogene	ENSG00000230071
RPL4P7	pseudogene	ENSG00000224442
RPL5	protein-coding gene	ENSG00000122406
RPL5P1	pseudogene	ENSG00000241061
RPL5P10	pseudogene	ENSG00000234067
RPL5P11	pseudogene	ENSG00000242882
RPL5P12	pseudogene	ENSG00000242697
RPL5P13	pseudogene	ENSG00000242134
RPL5P14	pseudogene	ENSG00000243914
RPL5P15	pseudogene	ENSG00000240412
RPL5P16	pseudogene	ENSG00000240411
RPL5P17	pseudogene	ENSG00000243859
RPL5P18	pseudogene	ENSG00000220744
RPL5P19	pseudogene	ENSG00000220553
RPL5P2	pseudogene	ENSG00000237068
RPL5P20	pseudogene	ENSG00000218643
RPL5P21	pseudogene	ENSG00000218689
RPL5P22	pseudogene	ENSG00000239198
RPL5P23	pseudogene	ENSG00000240395
RPL5P24	pseudogene	ENSG00000244052
RPL5P25	pseudogene	ENSG00000225251
RPL5P26	pseudogene	ENSG00000230469
RPL5P27	pseudogene	ENSG00000228195
RPL5P28	pseudogene	ENSG00000235264
RPL5P29	pseudogene	ENSG00000242208
RPL5P3	pseudogene	ENSG00000242276
RPL5P30	pseudogene	ENSG00000243431
RPL5P31	pseudogene	ENSG00000214878
RPL5P32	pseudogene	ENSG00000228992
RPL5P33	pseudogene	ENSG00000243521
RPL5P34	pseudogene	ENSG00000234009
RPL5P35	pseudogene	ENSG00000214727
RPL5P4	pseudogene	ENSG00000229994
RPL5P5	pseudogene	ENSG00000213051
RPL5P6	pseudogene	ENSG00000232393
RPL5P7	pseudogene	ENSG00000234415
RPL5P8	pseudogene	ENSG00000213917
RPL5P9	pseudogene	ENSG00000236330
RPL6	protein-coding gene	ENSG00000089009
RPL6P1	pseudogene	
RPL6P10	pseudogene	
RPL6P12	pseudogene	ENSG00000214671
RPL6P13	pseudogene	
RPL6P14	pseudogene	
RPL6P15	pseudogene	
RPL6P16	pseudogene	
RPL6P17	pseudogene	
RPL6P18	pseudogene	
RPL6P19	pseudogene	
RPL6P2	pseudogene	ENSG00000227056
RPL6P20	pseudogene	
RPL6P21	pseudogene	ENSG00000223445
RPL6P22	pseudogene	
RPL6P24	pseudogene	ENSG00000227474
RPL6P25	pseudogene	ENSG00000213270
RPL6P26	pseudogene	
RPL6P27	pseudogene	ENSG00000235552
RPL6P28	pseudogene	
RPL6P29	pseudogene	ENSG00000236243
RPL6P3	pseudogene	
RPL6P30	pseudogene	ENSG00000215313
RPL6P4	pseudogene	ENSG00000226080
RPL6P5	pseudogene	ENSG00000214064
RPL6P6	pseudogene	ENSG00000231063
RPL6P7	pseudogene	ENSG00000239212
RPL6P8	pseudogene	ENSG00000242285
RPL6P9	pseudogene	ENSG00000242390
RPL7	protein-coding gene	ENSG00000147604
RPL7A	protein-coding gene	ENSG00000148303
RPL7AP10	pseudogene	ENSG00000240522
RPL7AP11	pseudogene	ENSG00000242445
RPL7AP12	pseudogene	
RPL7AP13	pseudogene	
RPL7AP14	pseudogene	ENSG00000213979
RPL7AP15	pseudogene	ENSG00000236806
RPL7AP16	pseudogene	
RPL7AP17	pseudogene	
RPL7AP18	pseudogene	
RPL7AP19	pseudogene	
RPL7AP2	pseudogene	ENSG00000241984
RPL7AP20	pseudogene	
RPL7AP21	pseudogene	
RPL7AP22	pseudogene	ENSG00000227331
RPL7AP23	pseudogene	ENSG00000241367
RPL7AP24	pseudogene	
RPL7AP25	pseudogene	ENSG00000235294
RPL7AP26	pseudogene	ENSG00000214988
RPL7AP27	pseudogene	
RPL7AP28	pseudogene	ENSG00000184139
RPL7AP29	pseudogene	
RPL7AP3	pseudogene	ENSG00000256243
RPL7AP30	pseudogene	ENSG00000241741
RPL7AP31	pseudogene	ENSG00000242083
RPL7AP32	pseudogene	
RPL7AP33	pseudogene	ENSG00000254200
RPL7AP34	pseudogene	ENSG00000213312
RPL7AP35	pseudogene	
RPL7AP36	pseudogene	
RPL7AP37	pseudogene	
RPL7AP38	pseudogene	ENSG00000213787
RPL7AP39	pseudogene	
RPL7AP4	pseudogene	ENSG00000213641
RPL7AP40	pseudogene	
RPL7AP41	pseudogene	
RPL7AP42	pseudogene	
RPL7AP43	pseudogene	
RPL7AP44	pseudogene	
RPL7AP45	pseudogene	
RPL7AP46	pseudogene	
RPL7AP47	pseudogene	
RPL7AP48	pseudogene	
RPL7AP49	pseudogene	ENSG00000184961
RPL7AP5	pseudogene	
RPL7AP50	pseudogene	ENSG00000213609
RPL7AP51	pseudogene	ENSG00000226448
RPL7AP52	pseudogene	ENSG00000225354
RPL7AP53	pseudogene	ENSG00000235962
RPL7AP54	pseudogene	
RPL7AP55	pseudogene	
RPL7AP56	pseudogene	ENSG00000242834
RPL7AP57	pseudogene	ENSG00000242248
RPL7AP58	pseudogene	ENSG00000240554
RPL7AP6	pseudogene	ENSG00000242071
RPL7AP60	pseudogene	ENSG00000213152
RPL7AP61	pseudogene	ENSG00000233291
RPL7AP62	pseudogene	
RPL7AP63	pseudogene	
RPL7AP64	pseudogene	ENSG00000213876
RPL7AP65	pseudogene	ENSG00000228000
RPL7AP66	pseudogene	ENSG00000175886
RPL7AP67	pseudogene	
RPL7AP69	pseudogene	ENSG00000268483
RPL7AP7	pseudogene	ENSG00000213880
RPL7AP70	pseudogene	
RPL7AP71	pseudogene	ENSG00000234566
RPL7AP72	pseudogene	ENSG00000235735
RPL7AP73	pseudogene	ENSG00000237952
RPL7AP8	pseudogene	ENSG00000230507
RPL7AP9	pseudogene	ENSG00000213272
RPL7L1	protein-coding gene	ENSG00000146223
RPL7L1P1	pseudogene	ENSG00000234227
RPL7L1P10	pseudogene	ENSG00000237322
RPL7L1P11	pseudogene	ENSG00000176970
RPL7L1P12	pseudogene	ENSG00000231981
RPL7L1P13	pseudogene	ENSG00000251464
RPL7L1P2	pseudogene	ENSG00000231490
RPL7L1P3	pseudogene	ENSG00000235090
RPL7L1P4	pseudogene	ENSG00000249582
RPL7L1P5	pseudogene	ENSG00000267634
RPL7L1P6	pseudogene	
RPL7L1P7	pseudogene	ENSG00000251137
RPL7L1P8	pseudogene	ENSG00000228766
RPL7L1P9	pseudogene	ENSG00000231035
RPL7P1	pseudogene	ENSG00000214485
RPL7P10	pseudogene	ENSG00000229752
RPL7P11	pseudogene	ENSG00000234619
RPL7P12	pseudogene	ENSG00000227770
RPL7P13	pseudogene	ENSG00000234253
RPL7P14	pseudogene	ENSG00000232994
RPL7P15	pseudogene	ENSG00000240622
RPL7P16	pseudogene	ENSG00000242899
RPL7P17	pseudogene	ENSG00000214062
RPL7P18	pseudogene	ENSG00000243806
RPL7P19	pseudogene	ENSG00000241458
RPL7P2	pseudogene	ENSG00000227663
RPL7P20	pseudogene	ENSG00000254252
RPL7P21	pseudogene	ENSG00000231579
RPL7P22	pseudogene	ENSG00000226544
RPL7P23	pseudogene	ENSG00000244363
RPL7P24	pseudogene	ENSG00000240003
RPL7P25	pseudogene	ENSG00000216636
RPL7P26	pseudogene	ENSG00000184612
RPL7P27	pseudogene	ENSG00000220069
RPL7P28	pseudogene	ENSG00000218632
RPL7P29	pseudogene	ENSG00000214457
RPL7P3	pseudogene	ENSG00000226094
RPL7P30	pseudogene	ENSG00000227982
RPL7P31	pseudogene	ENSG00000235379
RPL7P32	pseudogene	ENSG00000231006
RPL7P33	pseudogene	ENSG00000215236
RPL7P34	pseudogene	ENSG00000237205
RPL7P35	pseudogene	ENSG00000233518
RPL7P36	pseudogene	ENSG00000234109
RPL7P37	pseudogene	ENSG00000226646
RPL7P38	pseudogene	ENSG00000239473
RPL7P39	pseudogene	ENSG00000243020
RPL7P4	pseudogene	ENSG00000230449
RPL7P40	pseudogene	ENSG00000242991
RPL7P41	pseudogene	ENSG00000241146
RPL7P42	pseudogene	ENSG00000241825
RPL7P43	pseudogene	ENSG00000241045
RPL7P44	pseudogene	ENSG00000233873
RPL7P45	pseudogene	ENSG00000225823
RPL7P46	pseudogene	ENSG00000229917
RPL7P47	pseudogene	ENSG00000228071
RPL7P48	pseudogene	ENSG00000187504
RPL7P49	pseudogene	ENSG00000242931
RPL7P5	pseudogene	ENSG00000241562
RPL7P50	pseudogene	ENSG00000268785
RPL7P51	pseudogene	ENSG00000243469
RPL7P52	pseudogene	ENSG00000228599
RPL7P53	pseudogene	ENSG00000237475
RPL7P54	pseudogene	ENSG00000227645
RPL7P55	pseudogene	ENSG00000228301
RPL7P56	pseudogene	ENSG00000231164
RPL7P57	pseudogene	ENSG00000224401
RPL7P58	pseudogene	ENSG00000216938
RPL7P59	pseudogene	ENSG00000225918
RPL7P6	pseudogene	ENSG00000227525
RPL7P60	pseudogene	ENSG00000214142
RPL7P61	pseudogene	ENSG00000230282
RPL7P7	pseudogene	ENSG00000224315
RPL7P8	pseudogene	ENSG00000235045
RPL7P9	pseudogene	ENSG00000137970
RPL8	protein-coding gene	ENSG00000161016
RPL8P1	pseudogene	ENSG00000216676
RPL8P2	pseudogene	ENSG00000225267
RPL8P3	pseudogene	
RPL8P4	pseudogene	
RPL8P5	pseudogene	
RPL9	protein-coding gene	ENSG00000163682
RPL9P10	pseudogene	
RPL9P11	pseudogene	
RPL9P12	pseudogene	
RPL9P13	pseudogene	ENSG00000228374
RPL9P14	pseudogene	ENSG00000185078
RPL9P15	pseudogene	ENSG00000240601
RPL9P16	pseudogene	ENSG00000214676
RPL9P17	pseudogene	
RPL9P18	pseudogene	ENSG00000213309
RPL9P19	pseudogene	
RPL9P2	pseudogene	ENSG00000234324
RPL9P20	pseudogene	
RPL9P21	pseudogene	ENSG00000214089
RPL9P22	pseudogene	
RPL9P23	pseudogene	
RPL9P24	pseudogene	
RPL9P25	pseudogene	ENSG00000240821
RPL9P26	pseudogene	
RPL9P27	pseudogene	
RPL9P28	pseudogene	ENSG00000242067
RPL9P29	pseudogene	ENSG00000267355
RPL9P3	pseudogene	ENSG00000240392
RPL9P30	pseudogene	ENSG00000240074
RPL9P31	pseudogene	ENSG00000239659
RPL9P32	pseudogene	ENSG00000242100
RPL9P33	pseudogene	ENSG00000244071
RPL9P4	pseudogene	
RPL9P5	pseudogene	ENSG00000239510
RPL9P6	pseudogene	ENSG00000241891
RPL9P7	pseudogene	ENSG00000238103
RPL9P8	pseudogene	
RPLP0	protein-coding gene	ENSG00000089157
RPLP0P1	pseudogene	ENSG00000226229
RPLP0P10	pseudogene	
RPLP0P11	pseudogene	ENSG00000239780
RPLP0P2	pseudogene	ENSG00000243742
RPLP0P3	pseudogene	
RPLP0P4	pseudogene	
RPLP0P5	pseudogene	
RPLP0P6	pseudogene	ENSG00000213553
RPLP0P7	pseudogene	ENSG00000238069
RPLP0P8	pseudogene	
RPLP1	protein-coding gene	ENSG00000137818
RPLP1P1	pseudogene	
RPLP1P10	pseudogene	ENSG00000226888
RPLP1P11	pseudogene	ENSG00000243686
RPLP1P12	pseudogene	
RPLP1P13	pseudogene	ENSG00000232163
RPLP1P2	pseudogene	
RPLP1P3	pseudogene	
RPLP1P4	pseudogene	
RPLP1P5	pseudogene	ENSG00000214657
RPLP1P6	pseudogene	ENSG00000213433
RPLP1P7	pseudogene	
RPLP1P8	pseudogene	
RPLP1P9	pseudogene	
RPLP2	protein-coding gene	ENSG00000177600
RPLP2P1	pseudogene	ENSG00000214374
RPLP2P2	pseudogene	
RPLP2P3	pseudogene	
RPLP2P4	pseudogene	
RPLP2P5	pseudogene	
RPN1	protein-coding gene	ENSG00000163902
RPN2	protein-coding gene	ENSG00000118705
RPP14	protein-coding gene	ENSG00000163684
RPP21	protein-coding gene	ENSG00000241370
RPP25	protein-coding gene	ENSG00000178718
RPP25L	protein-coding gene	ENSG00000164967
RPP30	protein-coding gene	ENSG00000148688
RPP38	protein-coding gene	ENSG00000152464
RPP38-DT	non-coding RNA	ENSG00000176236
RPP40	protein-coding gene	ENSG00000124787
RPP40P1	pseudogene	ENSG00000229310
RPP40P2	pseudogene	ENSG00000271190
RPPH1	non-coding RNA	ENSG00000277209
RPPH1-2P	pseudogene	ENSG00000252497
RPPH1-3P	pseudogene	ENSG00000252350
RPRD1A	protein-coding gene	ENSG00000141425
RPRD1B	protein-coding gene	ENSG00000101413
RPRD2	protein-coding gene	ENSG00000163125
RPRM	protein-coding gene	ENSG00000177519
RPRML	protein-coding gene	ENSG00000179673
RPS10	protein-coding gene	ENSG00000124614
RPS10-NUDT3	other	ENSG00000270800
RPS10P1	pseudogene	
RPS10P10	pseudogene	
RPS10P11	pseudogene	
RPS10P12	pseudogene	
RPS10P13	pseudogene	
RPS10P14	pseudogene	ENSG00000213744
RPS10P15	pseudogene	
RPS10P16	pseudogene	ENSG00000239917
RPS10P17	pseudogene	
RPS10P18	pseudogene	ENSG00000229455
RPS10P19	pseudogene	
RPS10P2	pseudogene	ENSG00000213950
RPS10P20	pseudogene	ENSG00000240443
RPS10P21	pseudogene	ENSG00000232881
RPS10P22	pseudogene	
RPS10P23	pseudogene	
RPS10P24	pseudogene	
RPS10P25	pseudogene	
RPS10P26	pseudogene	
RPS10P27	pseudogene	ENSG00000267752
RPS10P28	pseudogene	ENSG00000243167
RPS10P29	pseudogene	
RPS10P3	pseudogene	ENSG00000217716
RPS10P30	pseudogene	
RPS10P31	pseudogene	
RPS10P4	pseudogene	
RPS10P5	pseudogene	ENSG00000101278
RPS10P6	pseudogene	
RPS10P7	pseudogene	ENSG00000223396
RPS10P8	pseudogene	
RPS10P9	pseudogene	ENSG00000227791
RPS11	protein-coding gene	ENSG00000142534
RPS11P1	pseudogene	ENSG00000235544
RPS11P2	pseudogene	
RPS11P3	pseudogene	
RPS11P4	pseudogene	
RPS11P5	pseudogene	ENSG00000232888
RPS11P6	pseudogene	
RPS11P7	pseudogene	ENSG00000214047
RPS12	protein-coding gene	ENSG00000112306
RPS12P1	pseudogene	
RPS12P10	pseudogene	ENSG00000225147
RPS12P11	pseudogene	
RPS12P12	pseudogene	
RPS12P13	pseudogene	
RPS12P14	pseudogene	
RPS12P15	pseudogene	ENSG00000240724
RPS12P16	pseudogene	ENSG00000215184
RPS12P17	pseudogene	ENSG00000233163
RPS12P18	pseudogene	ENSG00000232965
RPS12P2	pseudogene	ENSG00000234319
RPS12P20	pseudogene	ENSG00000244134
RPS12P21	pseudogene	ENSG00000243930
RPS12P22	pseudogene	
RPS12P23	pseudogene	ENSG00000180172
RPS12P24	pseudogene	ENSG00000230283
RPS12P25	pseudogene	
RPS12P26	pseudogene	ENSG00000225193
RPS12P27	pseudogene	ENSG00000240435
RPS12P28	pseudogene	ENSG00000240494
RPS12P29	pseudogene	
RPS12P3	pseudogene	ENSG00000232713
RPS12P30	pseudogene	
RPS12P31	pseudogene	ENSG00000242325
RPS12P32	pseudogene	
RPS12P4	pseudogene	ENSG00000236533
RPS12P5	pseudogene	ENSG00000226216
RPS12P6	pseudogene	
RPS12P7	pseudogene	
RPS12P8	pseudogene	
RPS12P9	pseudogene	
RPS13	protein-coding gene	ENSG00000110700
RPS13P1	pseudogene	
RPS13P2	pseudogene	ENSG00000228929
RPS13P3	pseudogene	ENSG00000236913
