genename,lab1,lab2,non1,non2
Rpl36,37459,33003.28083,37651.29553,33107.67958
Anp32c,20172,18855.14915,19988.60956,18704.03372
Ap3d1,20957,24533.83519,21084.46489,22329.30506
Hspa1a,23874,20922.73245,23697.05695,21236.59069
Snap91,154470,133475.4049,149276.0829,138920.8849
Triap1,19030,19317.08995,18993.0882,18518.72468
Armc10,18196,17021.72204,18564.38856,16529.04492
Bsn,483370,486057.2958,483883.3222,466630.798
Ift172,17914,17856.40128,16727.10437,18001.94734
Psmc6,49830,53000.53878,49292.64089,50331.85092
Inpp5j,8417.5,13807.09194,8760.066778,11269.92199
Cse1l,32271,32370.8998,32392.23241,31068.41008
Coro1a,105900,102065.0234,102627.307,101789.476
Psmd3,56681,62497.40448,58940.33745,56755.02785
Mag,89880,76618.45687,72620.93796,89774.83789
Mtpn,69430,64738.61381,67317.57153,65352.3236
Dlat,79387,74577.95285,78587.55094,73995.72911
Blvrb,11832,13331.6115,11309.20087,12692.36467
Rpl18a,20615,25532.58306,21062.31323,22663.38334
Ndufa7,63908,65128.87414,61893.02254,63735.87192
Idh3a,238060,224216.5071,227236.8724,228069.326
Cnnm3,26963,19274.08167,27099.29029,21075.64151
Puf60,14938,12724.71686,14996.66933,12975.98321
Kctd16,52255,53212.39439,50397.61748,52250.19104
Sod2,29519,27241.76402,28029.65974,28037.34568
Cenpv,35513,40703.3561,35988.61849,37211.44845
Slc9a3r1,50642,50643.0478,48956.45697,49986.4627
Aimp2,45853,45695.50254,46091.07546,43982.6236
Acat3,76874,72703.11036,75546.25924,72434.95714
Me3,144620,117218.2745,132532.039,130368.8289
Mmut,11413,11335.23079,11251.60657,11077.65298
Psmb1,11538,10204.59086,10854.70106,10756.62463
Nap1l1,62573,59558.50525,60608.22664,59833.07201
Rph3a,142660,143040.7653,141575.1258,138720.7859
Cntn1,314810,299480.9995,303438.5599,302010.2454
Iars1,28591,28702.45269,29637.60916,26988.13108
Arhgap44,57090,56036.60487,55526.37675,55529.20416
Pa2g4,25363,25140.72983,23784.36052,25415.17918
Dbi,76593,79224.44014,69018.03669,80735.58442
Ndufa10,38623,39784.2532,36358.6814,39591.7562
Arf5,15223,15707.7394,15091.79113,15121.39216
Capzb,201840,186385.1484,198895.7864,187510.1348
6430548M08Rik,85479,71044.90218,81370.84104,76350.80699
Ldha,113050,109715.7188,106995.0918,111342.0269
Hspa12a,170720,164530.5699,166189.5218,164333.4541
Arhgef2,61279,66208.85987,60389.31618,63012.90564
Fbln7,12945,14362.85451,12107.83312,13984.30802
Bzw1,29050,31950.37439,29482.54759,29665.1073
Psma7,49904,57986.31363,51533.86699,52337.1906
Bdh1,15415,15768.58815,14147.08827,15997.47765
Tln2,198980,195878.8283,196732.7426,192260.3103
Nap1l4,130560,114782.7315,124767.233,120363.8804
Lepr,13964,10781.69828,13977.69327,11509.17076
Prmt5,4026.5,4213.696548,4015.573539,4025.817277
Arhgap39,45033,39257.00353,45134.64525,39915.39454
Vps26b,49075,54618.92448,49382.55054,50873.85813
Prkaa1,6901.7,6297.527427,6911.706761,6303.117555
Grin2b,24540,25110.46474,24768.15454,24000.56646
Hsp90b1,155110,154218.1397,155582.7889,149552.2302
Scrn3,48797,41412.19629,47029.26313,43842.55432
Grb2,65627,66366.5569,64165.52156,65093.93493
Phactr1,8992,8795.671417,8727.751425,8773.904837
Fabp5,21131,19605.40472,21264.28419,19445.26991
Tmx2,12924,18229.13972,12493.92341,16174.95674
Tom1l2,95321,88353.3461,92532.66825,89957.53695
Cltc,765290,703440.2648,745507.3788,716876.3099
Etfb,76572,76161.29477,76708.56952,73967.01926
Nefm,658260,598149.6204,571278.1099,659108.6073
Map2,752130,648548.9546,750849.8363,665546.5741
Ndufv1,220640,216713.9513,210401.6158,218551.575
Camk2b,495850,461558.5044,492535.4974,461915.4223
Ina,818420,767363.3142,705934.1015,837544.6888
Atp2a2,353200,366653.5635,351390.3743,352739.6843
Srsf5,30336,29330.05502,30713.91891,28575.00291
Iqsec1,98528,95530.95039,89105.67717,100092.9848
Napg,241150,207124.6974,230168.7088,220047.9673
Hnrnpr,145530,155267.8604,143464.5315,148917.1335
Ddx19a,7970.9,6613.080781,7595.671635,7136.138267
Rps14,33992,33836.36717,33984.54538,32931.94048
Them4,38146,38108.52312,39495.09491,36137.00399
Tmsb4x,17191,14961.46607,16577.25495,15702.54917
Otof,10837,10926.17425,10910.08019,10536.51576
Slc2a3,26085,28313.78526,25156.45999,27380.49906
Gatd3a,107020,83322.97007,103429.9787,91427.82938
Tollip,37822,41843.87201,36693.56228,40058.9438
Hnrnpd,63619,59950.35848,61164.62405,61166.77515
Sfpq,115520,118897.1904,126728.3059,106992.0493
Sparcl1,11241,10732.15911,10820.17054,10890.60394
Srsf2,76391,89223.06912,77244.11832,81846.5687
Atp2b2,429970,478283.9472,430732.3845,448291.2924
Acot6,10251,9379.469014,9857.616051,9683.050157
Adss1,11031,12485.62267,9998.344201,12340.88648
Atp1a1,437360,441010.1033,422927.1843,437546.8477
Endod1,44661,45190.55346,44367.15561,44016.55343
Mink1,49783,47681.84798,48225.45241,48188.18195
Fbl,29152,26929.55576,27556.65678,28050.39561
Inpp4b,10601,8633.195687,10717.88202,9000.973668
Atpif1,140680,143523.4137,129968.9624,146028.7483
Nckap1,117090,129669.9684,120248.2957,119972.3824
Prpf19,25481,29761.73073,27232.20021,26389.57416
Dlg2,75734,74770.69367,75167.07506,73646.8609
Eif3h,18917,21961.3028,17170.13743,21554.13905
Gnb5,13767,15928.19666,14471.54484,14335.78621
Slc7a14,21226,16841.72442,22281.95721,17232.0013
Gm7324,27996,27265.65751,27611.3844,27118.63041
Rabep1,30188,31674.8028,30961.49621,29900.00609
Scarb2,8941.8,8892.360405,8994.353089,8664.3724
Pspc1,50322,48868.55797,49381.2475,48844.15858
Septin3,138480,142480.0647,135620.2401,139669.0811
Stub1,52998,45628.60077,52782.17781,47223.35692
Ckb,658750,650842.7296,641251.2737,649999.7541
Rhog,28447,29381.0278,24648.275,30927.4708
Ddx5,143000,153150.8972,140741.1812,147690.4398
Synj1,267710,260295.6765,263109.5204,259980.7618
Rps5,44981,47845.91661,46840.32256,44534.20076
Rps15,19108,16586.86053,18209.9621,17674.82902
Raly,16234,21448.38923,16931.6814,18710.99369
Ppp2r1a,181730,178978.1666,175467.1554,180115.1729
Atp6v0a1,286300,256807.227,290642.7225,258310.3704
Timm29,8319.4,9402.884634,8496.592407,8703.435199
Prdx1,35791,35905.54337,34142.21303,36176.15378
Trim28,68084,68247.77099,67559.93668,67038.37492
Nrxn3,80888,71589.67375,79120.49366,74392.44707
Atp5me,56382,60773.88742,57449.66148,57230.04541
Tagln3,134640,119505.6779,131645.9729,124104.8612
Czib,20257,20620.08158,21066.22235,19513.12956
Gstp1,57352,53800.17424,54876.16057,55530.07416
Dnajc6,64508,54795.73631,63997.42961,57310.95499
Psmb7,46643,37058.80248,44777.61272,40812.35992
Akt3,13689,15238.31197,13795.26789,14311.42633
Idh3b,93773,89884.12234,92320.27299,90296.8352
Plcb1,388530,362289.0194,379718.4298,369591.4975
Git1,79649,80729.72999,82144.84586,76997.21366
Map1a,721810,699935.8864,706533.4992,703025.9812
Ncl,79920,71611.97434,80873.08035,72336.64765
Acsbg1,29941,28516.08347,29268.84929,28859.49145
Pde2a,80901,75990.85454,80045.65095,76675.31532
Vcp,379390,340848.5946,369268.0616,354183.8768
Rtn1,49956,46628.94154,48758.39513,47659.22468
Sirpa,93921,93464.95999,93447.40123,92106.42588
Myadm,15046,20045.04493,14616.1821,18217.70622
Rab4a,23209,21442.01763,22999.93138,21775.98791
Ly6h,30582,28066.88586,30958.89013,28142.61514
Eif4g1,25012,29075.19113,25624.25079,26718.43247
Slc44a1,20183,26696.99246,16260.61661,26568.79324
Cadm3,71683,58994.61889,69591.3736,63683.67219
Cbr4,19337,18041.1776,18977.45174,18396.9253
Acot13,3199.8,3502.944875,3493.576343,3138.943842
Septin8,99003,97483.84495,95180.44235,98822.79131
Atp5f1e,46644,36107.84159,45246.70655,40064.16377
Farsb,37017,39731.68752,35888.28453,38860.95996
Cand1,133620,133946.9031,134134.7763,131186.6247
Ogdhl,104460,120770.44,104867.2301,112838.4192
Elmo2,11185,10751.11461,10505.35646,11177.70246
Vapa,67997,71944.89029,70297.62043,67860.52069
Sptan1,2371500,2492728.132,2309375.015,2451821.379
Slc25a22,38973,36544.296,39085.94084,36721.64098
Mccc1,23128,24446.22573,21771.16614,24508.64384
Mtx3,12997,10506.60457,12432.28969,11583.12038
Rab3gap2,46835,42759.78911,45048.64471,44697.75992
Eef2,182080,177464.9123,178646.5692,178592.6807
Rpl23a,50412,47325.03854,52621.90408,46184.58227
Eif3l,18958,18660.81543,18221.68945,18965.03238
Ak1,69138,63572.61151,67360.5718,65709.02176
Phyhipl,51056,50332.43244,49407.30827,50911.26794
Immt,343740,358816.4989,342712.1383,348763.8047
Mapk3,15243,14582.51532,15448.82366,14454.1056
Vcl,19306,21427.68153,20886.40305,19311.2906
Fasn,253220,262860.2443,249922.7715,257831.8728
Myef2,71913,67507.07281,70473.53062,69036.75464
Nfasc,22270,18471.26041,18817.17801,21835.1476
Rhoa,29400,31907.3661,29930.79281,30227.9944
Nudcd2,11589,13417.30948,12171.5517,12202.55719
Rps13,17222,18297.63439,17093.25817,17753.99861
Sptan1,7002.1,6569.753919,6992.886055,6636.151841
Dlg1,71351,71449.49861,73073.09229,69288.18334
Septin2,45871,42950.93703,42029.50466,45949.68348
Lhpp,19248,18850.37045,18523.99437,19228.64102
Ppa1,17990,16360.66883,17843.8083,16816.14344
Rtn3,122970,120819.8199,120069.7795,121964.6722
Gnaq,158110,157824.4638,156260.3689,157155.991
Opcml,116890,113545.0487,116852.5776,113325.6167
Myh10,451000,408945.0402,440231.5346,425810.6082
Atad3,31549,31932.85249,32772.71963,30591.65253
Tecr,31947,33342.56838,30889.8291,33153.78934
Rab15,8594,8690.221482,8965.425636,8306.369243
Wdr48,6975.7,5767.251246,6478.446482,6455.018773
Pafah1b1,60357,60452.12176,60790.65202,59431.13408
Ocrl,6389.4,5819.976214,6097.568348,6148.432351
Phgdh,211090,208813.1707,206479.4701,210391.017
Tprgl,27901,22724.30157,26383.92219,25302.07976
Ccdc22,11180,13617.53692,11509.21726,12397.43618
Lonp1,30506,35738.28895,30222.67342,33714.93645
Got1,88535,84968.43506,86834.48119,86467.98491
Psmd2,19524,20948.21884,19381.39365,20326.57537
Gdi2,84200,81561.22343,84035.55463,81762.17913
Pacs1,53188,55934.65931,53759.45664,54062.39172
Vwa5a,10854,10725.30964,11341.64652,10346.85674
Dbn1,149350,136747.2201,149797.2983,139634.2812
Psmb6,42497,39771.51,41675.07821,40918.49937
Tubb3,119670,123338.1937,114000.2264,124731.2579
Elob,17555,17966.31133,16656.74029,18266.42597
Cplx1,136420,110693.7589,138786.6235,117223.1966
Slc3a2,124120,113436.7316,122898.6759,117075.2974
Etfa,107150,102080.9524,106855.6667,103242.3686
Ctsb,42871,40682.64841,43982.75927,40392.15208
Glod4,53049,47108.40423,53381.57549,48613.60976
Gstm7,28791,28892.00771,28820.60406,28615.8927
Gm136,11240,12555.86953,11283.79162,11967.6584
Ndufv2,58916,52400.01574,56723.86907,55771.93292
Cfl2,59839,56181.55871,54813.61473,60415.96901
Nudc,42255,41627.2377,42006.04997,41714.54528
Canx,73910,71177.11282,75288.25763,70713.23601
Apol11a,28380,28538.38406,34105.72795,24468.62405
Dstn,88001,85049.67293,87527.69763,85845.93811
Purb,58146,54798.92211,60219.92119,54233.78083
Pfdn5,23796,21139.36676,23104.17446,22399.7747
Mtch2,16437,14958.91743,15884.0385,15752.13892
Hspa9,253010,252028.529,249492.7688,253116.4971
Atp5pf,57123,52607.09265,56348.594,54395.6
Rpn1,16792,15647.84638,16708.86183,16012.26758
Kcnh1,14422,13284.93955,14062.39077,13846.84872
Hdgf,24018,22894.7418,24262.57563,22992.24165
Atp4a,24111,21545.55608,24872.39761,21816.0077
Mtco2,37029,41053.79395,39310.06345,37870.03506
Eif3i,20118,19527.35266,20017.27641,19691.47864
Rgs7,44649,49680.93662,43353.39171,48491.81039
Itpr1,36487,35977.22384,37150.92877,35514.95719
Ctnnb1,101140,99871.60102,101251.2984,99736.28661
Ap3b2,142800,139791.2507,140246.0266,141878.8697
Mapt,139440,116861.4651,130259.54,130429.7286
Otub1,42179,42939.78673,41336.28822,43036.06847
Ndufs3,145410,141282.2044,138200.2562,146916.1438
Snx12,33263,33387.16956,33249.6317,33205.11908
Ddx1,49588,43959.24229,49155.82185,46048.86296
Hspa4,224100,209800.7683,223340.7874,214506.0958
Slc4a10,14092,15702.48283,14608.36387,14722.93421
Ptges,5742.2,4944.200172,5506.249507,5364.740385
Eef1g,130850,124574.2835,135750.544,123043.4666
Ppp1r9b,187170,187054.1661,191155.7381,183795.2539
Akr1b3,24072,21830.68506,23109.38661,23199.30058
Gnaz,25762,30021.37332,25977.3742,28276.59445
Rpl10a,38268,39703.01533,39342.63941,38365.06252
Ppa2,38622,31410.38152,37028.44316,34955.55007
Samm50,39238,35195.11028,39039.03146,36675.53121
U2af2,11865,10991.16454,10965.98054,11874.56888
Hnrnpll,5732.6,4806.573672,5764.511724,5103.045732
Dync1h1,671800,656481.5931,668445.6858,662623.3892
Srcin1,287910,284651.1069,287476.3391,285541.2302
Armc6,9845.2,10344.60671,9165.181427,10601.76543
Eprs1,26908,28759.79706,26455.58931,28350.54407
1300017J02Rik,34804,39741.24492,34864.09632,37895.26494
Gng2,70726,67019.64562,69614.82829,69002.82481
Ddx6,35622,37237.2072,35927.37568,36419.75253
Syne1,16880,18785.06158,16557.70937,18302.96579
C1qbp,50490,38497.19055,49379.94446,43481.50618
Hgs,24847,19715.31478,23991.54363,22100.49624
Npepps,276230,260486.8244,276439.6036,265827.1317
Ubl4a,16797,16050.05346,15971.34208,16860.51321
Rabggta,26088,24806.22097,25758.46375,25474.33887
Slc25a4,310090,295801.4021,314514.3866,297886.4666
Rmnd1,21142,23563.75951,21776.37829,22272.75535
Pygm,12582,13573.09503,13228.44617,12787.19418
Atp1a3,1942700,1942700,1942700,1942700
Phyhip,145550,142158.299,146891.5226,142496.5665
Cdh2,8883.9,9335.982863,9595.18411,8704.305195
Wasf3,18658,15001.28855,18427.56952,16469.88522
Kif5c,182260,172988.8652,181083.2511,177209.3878
Mbp,414480,428489.9147,335141.485,476774.9458
Rpl13,167190,152031.089,172444.1062,154058.807
Gad1,41272,42371.12168,41740.23013,41701.49534
Gria2,196490,194285.929,194113.6354,196958.2862
Spr,165750,164132.345,163961.326,166169.1446
Ap2m1,227900,233837.6189,234364.4926,227782.2275
Tnks1bp1,56925,54876.97417,56904.99141,55715.38321
Kalrn,16971,18442.58823,16965.5604,17951.4876
Trim2,52701,50821.45253,53768.57791,50871.24814
Tmem65,22105,24186.58314,21282.52673,24040.58625
Nckipsd,14745,15555.45822,15293.76209,14934.34313
Ccar2,3094.4,3335.849738,3315.190382,3109.972991
Hspe1-rs1,133000,126313.7296,133861.1382,128524.4384
Ppp1ca,17973,19493.90177,17271.77443,19480.06973
Hadha,83394,88823.25139,82445.84774,87817.34796
Lasp1,166160,141661.3144,166567.4029,150700.6243
Septin5,202570,186687.7993,208316.7543,189232.7259
Gripap1,133830,120566.5489,134981.7513,125000.9566
Lsamp,222690,204544.2006,229230.5212,207459.1321
Camk2a,560810,527695.6838,555602.5575,545069.5943
Khdrbs2,42555,49446.78042,43711.72728,46396.86117
Snap25,410700,440595.9495,416281.6882,427898.5974
Prpsap1,8993.3,10345.72174,9186.160346,9775.269682
Psmc4,71058,64316.49549,70603.83446,67328.08343
Sort1,27500,25695.05879,28088.29647,26067.67582
Rab21,6192.2,5870.789702,5964.919035,6164.788267
Csrp1,103130,98493.74311,101539.2699,101676.3766
Vdac2,125840,122003.344,125225.9025,124374.5598
Aldh5a1,163090,137038.7206,162124.0419,147751.3395
Ykt6,23914,26609.38299,24463.24354,25407.34922
Rab2a,157670,166378.3331,160638.578,162114.9655
Pip4k2c,68958,63448.36537,64890.01093,68491.26744
Camk2g,10984,12000.26625,10692.86369,11893.70878
Adam23,52442,48170.86807,50166.97968,51504.60488
Rgsl1,4271.9,4370.91571,4517.113032,4197.380394
Cadps2,18426,17247.91374,19136.42243,17309.4309
Phb2,96050,102413.8683,102993.4608,96143.20511
Vamp1,35624,35421.30198,36139.77094,35384.45786
Denr,25549,24216.84823,26099.85982,24492.11393
Srr,30224,23128.898,29879.97431,26076.37577
Gltp,19712,19865.04731,17888.11161,21162.64107
Actr3,210000,188073.6217,208225.5416,198472.0784
Dmxl2,223140,222400.6018,235667.531,215845.8889
Cltb,206540,195448.7455,206544.622,200847.1661
Rab4b,19509,18730.903,19064.75532,19444.39991
Cd47,29369,29508.45974,30080.64223,29197.9197
Psmb4,36016,32957.08675,35116.88577,34903.35034
Ndufb5,72316,65828.15694,69865.01167,70308.68809
Gnb3,22742,24537.02099,23024.68911,23907.47694
Cspg5,39978,46740.44449,42181.96016,43222.24751
Phb,150140,146494.171,151334.8836,148282.0367
Glrx5,76686,72355.85831,77382.24039,74098.38858
Psmd4,13092,13385.61078,12861.51055,13551.92024
Ncdn,74454,72161.5246,72438.51258,74989.26399
Eef1a1,210960,187532.0359,221164.7133,190929.2172
Synpo,55165,48621.65858,55790.89355,51027.84734
Acly,98587,98726.30641,101935.3936,97361.19884
Mecp2,63954,73746.45941,67971.69683,68207.6489
Ubqln2,3910.9,3132.595786,3478.330793,3734.194778
Hnrnpl,146420,148891.4844,150175.1794,146968.3435
Nebl,152880,130206.7755,157224.6173,136841.5956
Ppp6c,16800,15069.14606,16605.92179,15978.33775
Rab1a,128230,123631.2871,130355.9649,125122.7559
Syt12,19760,19226.29469,19906.51814,19516.60954
Gsk3b,46223,46582.74746,45615.46643,47335.58634
Khsrp,93131,94243.88775,94161.4663,94124.81549
Vdac1,274580,269598.2084,272843.2175,275457.9821
Decr1,3848.5,4179.767793,3982.867275,4014.942333
Impact,41756,46316.73327,40597.46542,45937.50354
Ube2l3,42197,43760.12988,40256.06935,44966.58854
Calm3,94776,101055.1252,92547.00168,101371.8782
Atp2b4,48369,45174.62447,46818.1709,47868.8936
Atp6v0d1,163250,144523.7545,162084.9507,153719.5087
Mgll,32438,33825.21687,32398.7476,33724.5064
Slc25a1,12919,12591.70977,13925.57174,12179.9373
Ap3s2,21071,26553.63152,20199.70179,25439.53905
Pura,88651,81672.72639,89190.37467,84826.30336
Hagh,36748,28707.23139,35529.94896,32799.70116
Auh,28383,28831.47753,28403.63177,29008.26068
Mobp,12701,13504.91894,6822.057717,17306.82091
Rims1,28153,26421.42088,28096.1147,27423.12884
Rrbp1,37627,44056.40915,38388.81528,41764.13502
Snu13,29720,27590.60897,29578.97243,28825.56162
Cox4i1,131520,132057.7245,128978.6532,135310.4035
Kif2a,131870,126568.5935,133756.8952,128933.3363
Dlg4,185900,170376.5103,183936.9052,179662.7752
Btf3l4,18777,19299.56806,18660.8134,19447.87989
Cdh13,16286,15731.31431,16185.04038,16214.97653
Sfxn3,98421,106615.9367,103187.6135,101998.275
Ndufb1,14338,16320.84634,14613.57603,15656.43941
Rab14,115870,110937.4725,117352.9443,113438.7161
Scamp4,10422,9508.812439,9451.849883,10644.39521
Ipo5,51338,51775.59921,52070.71883,51961.35253
Trappc10,4838.8,4242.368736,5114.686458,4345.714631
Cct7,57576,52253.46901,57469.20706,55129.87622
Dnm3,50424,49035.8124,51167.71319,49857.70336
Igsf8,204850,196691.207,201137.0125,205579.9418
Clasp1,3626.2,3377.26512,3882.924227,3356.355723
Pip4k2b,53933,57893.92547,57901.81582,54821.89781
Agpat3,29159,29602.4408,28751.54303,30258.44425
Zfp62,9620.5,11610.80237,10017.62917,10827.96426
Map1b,463640,430114.672,457588.0066,454476.9606
Atp6v1d,39220,39360.54198,39686.64156,39737.04545
Ggt7,9685.9,8931.227148,10031.70199,9146.26292
Nbea,21068,20970.51943,21623.9228,21031.27174
Hnrnpu,237640,240623.37,242143.632,241154.0587
Cul2,21630,22042.54067,23221.44792,21258.34057
H1-4,21191,21142.55256,21793.31779,21171.34102
Rtn4,172130,164689.8598,174776.545,168909.6305
Arl8a,21300,20734.77033,20693.55336,21762.93798
Gdpd1,51046,42383.86487,53459.7578,44822.16928
Rps11,53852,41714.84716,55214.95057,46128.03256
Dnajb4,10576,10325.96979,10453.49553,10708.77488
Slc8a2,70341,92383.38135,70895.71507,85756.32857
Kif3b,3081.2,3012.650467,3093.673848,3091.268088
Sorbs1,48854,47017.60897,50194.34348,47767.10412
Rps28,38982,39710.97983,39027.30411,40239.03287
Oxct1,55418,54469.19195,56531.01938,55230.7957
Cct2,118670,101018.4885,117965.3724,110176.2329
Gprc5b,20652,27614.50246,20717.00805,25585.6983
Wdr13,15672,20258.49344,16995.53028,18115.91675
Chtop,11087,11552.02439,11532.28105,11334.30166
Ppp3cb,72967,70759.7732,74497.3133,72103.48885
Actg2,70330,60208.40817,69518.40345,65843.00107
Ap2a1,104850,100613.8921,109452.6223,101354.4783
Mtmr1,64799,67266.54501,64847.01066,67833.55083
Hnrnpab,48068,45346.65759,49236.61024,46606.53009
Hadhb,41059,36899.51255,41176.01449,39210.69816
Prkcsh,23572,19844.33962,24143.99913,21305.32033
Ddb1,52315,61140.25426,54983.00973,57506.70399
Tomm70,139160,134815.0332,141588.1561,137972.5898
Lmo7,5998.1,5207.984298,5368.127433,6044.554886
Wipi2,9903.8,10290.28884,9752.200241,10490.406
Epb41l2,102300,98186.31355,103874.3148,100989.0802
Hs6st1,8549.6,10046.89383,9300.567121,9228.042499
Map4,171270,169054.4039,179167.7846,168622.532
Sumo3,30503,25636.12152,31430.59005,27468.36861
Gspt2,47781,43126.15595,50023.64545,44450.68119
Phf24,58958,63825.8825,58787.88195,63744.57188
Sptlc1,12715,13320.62049,14320.39238,12360.89637
Ctnnd2,64274,69206.69638,66053.62425,67955.3502
Gpd1l,60624,62376.34413,59333.85505,64196.09955
Dnm1,474770,446441.89,479413.9003,465482.4039
Mpp3,36342,34000.4358,37289.05084,35139.98912
Ppid,265470,245577.2868,271175.3283,255787.3833
Rap1gap,26132,27458.39833,26479.044,27474.45858
Pgm3,22434,24889.05174,22985.59796,24278.96502
Csde1,41606,38497.19055,42127.23254,40355.61227
Nme1,99073,106426.3817,99801.01663,106113.3538
Ahsa1,9909.1,9739.623549,10271.20045,9830.0794
Pi4ka,52813,48105.5592,54007.03394,50416.24048
Pclo,86228,77650.65562,87680.15313,82065.80757
Dhx9,40787,42855.36307,41916.14032,42534.08106
Sptbn1,1138600,1078663.627,1132718.28,1135605.155
Grn,20556,22103.07084,20598.43155,22124.85611
Atp1b2,136460,115555.2876,138982.0793,125018.3565
Cyfip1,12438,15009.73092,12881.83795,14181.797
Hars,11127,10687.71722,10949.69256,11280.36193
Gmps,53352,52576.82757,55551.13448,52924.43757
Chchd3,174840,161918.215,184067.2091,165333.9489
Baiap2,87658,92103.03108,89224.25367,92089.02597
Hebp1,21441,19427,21795.92387,20524.93435
Tecpr1,35602,36435.97885,36963.29123,36311.87309
Pde4d,14830,15669.6691,14180.96727,16262.82629
Abr,29899,33277.25951,32600.71856,31220.65929
Rpl11,38449,34059.37307,36674.0167,37940.5047
Gnao1,328370,326385.0689,330763.2759,335618.1724
Map2k4,48423,49706.42301,48436.54464,50752.05876
Banf1,10767,9176.692932,10100.50241,10503.45593
Uqcr10,21299,24987.8115,21597.86203,24184.13551
Ppp3ca,345770,324664.7376,349800.6674,340168.249
Atp2b1,215680,234490.7076,225751.4085,228095.4259
Abi1,68105,67787.42309,69891.07244,68858.40555
Ank2,664230,633639.417,669722.6635,661666.3941
Slc6a1,83229,72456.21097,84677.95258,77857.63923
Ndufb3,28233,26282.83864,28651.20907,27597.12794
Rpl12,26968,26391.15579,26790.47019,27593.64796
Sv2a,127980,130058.6359,132649.3125,130438.4286
Acsl6,70619,64635.07535,70762.80515,68926.2652
Plxna1,73306,65167.10372,74003.46173,69931.98003
Srpk2,20796,23563.75951,19613.3345,24098.87595
Epb41l3,268080,264628.3626,267917.7322,274944.6847
Rap1gds1,76765,73233.54583,76274.65772,77380.01169
Atp6v1c1,194310,165502.2384,195781.5246,181046.0681
Slc32a1,29387,28691.30239,29834.36797,29633.78746
Lmtk3,24295,24637.37365,23654.05668,25777.96731
Uqcrh,133970,134748.1314,137587.8282,136658.8966
Ermn,23507,24681.97483,21936.65202,26137.27546
Spock2,24821,23281.81633,24708.21477,24741.80264
Psma1,21534,22878.81281,22585.56516,22458.0644
Tpd52l2,17329,13907.60389,18688.17721,14776.00394
Cyc1,39895,33962.20622,42030.8077,35963.87488
Rps3a,143840,132113.476,149119.7183,137650.6914
Twf1,33883,31598.34364,33839.90811,33598.35705
Rplp2,41867,39658.41415,42228.86954,41662.34554
Hdlbp,10973,13610.20959,10662.50289,13303.10152
Uqcrb,101480,100153.5442,105010.5643,101867.7756
Sgip1,18854,18082.59298,21109.22262,17518.22983
Hsp90ab1,481900,469698.2199,507051.3455,474539.0573
Prkce,143960,132460.728,143607.8657,141878.8697
Rock2,45618,45007.37004,46162.74257,46516.92056
Arhgef7,29697,28723.16038,29349.63767,30375.02365
Psmb5,29212,30902.24664,30768.64652,30365.45369
Nceh1,76369,72879.92219,79167.40305,75081.48352
Ndufa6,44998,49099.52837,46809.04963,48187.31196
Mars1,4604.9,4639.159954,5077.680166,4489.785889
Serpinb6a,25795,24306.05059,26673.19673,25242.92006
Myo5a,151640,159305.8601,156247.3385,159600.6785
Cul5,22518,26730.44334,24060.60467,25153.31052
Epha4,72065,68166.53313,75899.38265,69799.74071
Gm5426,17779,17897.81666,18715.54102,17943.65764
Ddx17,29810,28903.158,29632.39701,30526.40287
Atp6v1e1,133620,121547.7748,136102.3643,129394.4339
Nipsnap1,43266,43849.33224,43797.72782,45065.76803
Map6,118590,102291.2151,117754.2802,113290.8168
Cadm2,141720,134314.8628,145979.3957,139851.7801
Pdxk,53355,47277.25156,54416.18801,50856.45822
Dctn1,151390,136833.2366,152364.284,147438.1411
Rnf14,17166,18042.7705,17645.74646,18145.4966
Guk1,15967,14293.72268,16329.67764,15317.14116
Grin2a,24184,26118.77001,24954.48903,26005.90614
Gabra1,41949,42605.27788,46081.95419,41466.59655
Atxn2,21152,21636.35134,23048.14381,21138.28119
Mthfd1l,4120.3,3426.167129,4245.820431,3760.294644
Cyb5a,16659,13596.51065,16992.92421,15152.712
Rhob,116740,105516.8362,119371.3509,112768.8195
Ttc7b,38642,43145.27074,40396.7975,42188.69283
Lgi1,188800,178659.5867,193944.2404,187214.3363
 ,5071.1,5578.492678,5277.696566,5500.546686
Sec14l2,41682,37348.71015,41589.07767,40799.30999
Kif1a,17042,16473.76468,18163.05272,16710.00399
Bphl,29139,32692.66546,30126.24857,32187.22432
Prkcb,211420,197917.7394,208447.0582,214358.1966
Fhl1,9968.9,9098.322286,10473.43201,9522.970981
Pisd,4060,3518.077419,4225.232423,3781.435535
Ppp1r1a,26070,26497.88004,26834.77349,27062.95069
Mat2a,26642,22905.8921,27107.10853,25111.55074
Iscu,40911,37058.80248,41572.13817,39849.27488
Apoe,107970,84834.63152,115677.2369,92645.82311
Isoc2a,17827,19849.11832,18629.54048,19481.80972
Rida,45852,44821.00082,47753.7525,46094.10273
Brsk1,25855,24003.39972,26688.83319,25322.95965
Cox6a2,10162,9388.229961,11187.23647,9460.331303
Cmpk1,108760,96219.0829,110444.2346,104651.7613
Shank3,16738,16405.27001,16380.49614,17575.64953
Gstm1,152170,155459.0083,156859.7666,158669.7833
Dctn3,31221,37348.71015,33073.72151,35577.59687
Diras1,47807,42087.5856,49701.79496,45127.53771
Rpl21,37581,39996.10881,41544.77436,38409.43229
