Gene name	Human gene name
Wdr43	WDR43
Dpp6	DPP6
Tbc1d9	TBC1D9
Psmc3	PSMC3
Spdef	SPDEF
Rapgef2	RAPGEF2
Mocs3	MOCS3
Nipal4	NIPAL4
Gata2	GATA2
Gprc5a	GPRC5A
Egr1	EGR1
Asl	ASL
Slc25a10	SLC25A10
Magi3	MAGI3
Atp8b3	ATP8B3
	RPS3A
Dnajb13	DNAJB13
Clk3	CLK3
Nek2	NEK2
Ezr	EZR
Cygb	CYGB
Robo4	ROBO4
	TTC3
Nphp3	NPHP3
Prlh	PRLH
Mark1	MARK1
Taar4	
	PABPN1
	SNORD1B
Stac2	STAC2
Mir144	MIR144
Prss34	
Snord1a	SNORD1A
Entpd8	ENTPD8
Casr	CASR
SNORD15	
Sstr5	SSTR5
P2ry14	P2RY14
Dync2i1	DYNC2I1
Btbd6	BTBD6
Gm25777	SNORA77B
Gm25777	SNORA77
Lhcgr	LHCGR
Slc20a2	SLC20A2
1700102P08Rik	C3orf62
	TOMM5
A1cf	A1CF
Maip1	MAIP1
Mcl1	MCL1
Vwa5b1	VWA5B1
Zfp560	ZNF121
Asgr1	ASGR1
Tpst2	TPST2
Cav2	CAV2
Kif9	KIF9
Plekhd1	PLEKHD1
	SUMO1
Pamr1	PAMR1
Kcnc4	KCNC4
Slc17a2	SLC17A2
Gas8	GAS8
	SNORA31
	INPP5K
Etv4	ETV4
Cenpk	CENPK
Slc28a3	SLC28A3
Wdr5b	WDR5B
Lrig1	LRIG1
Ate1	ATE1
Tifa	TIFA
St6galnac1	ST6GALNAC1
Papss2	PAPSS2
Smcp	
	BAZ2B
Sdr9c7	SDR9C7
Scn11a	SCN11A
P2rx6	P2RX6
Snord57	SNORD57
Tbx20	TBX20
Slain1	SLAIN1
Rasgef1a	RASGEF1A
Ahctf1	AHCTF1
Pus10	PUS10
	MIR7-3
Chrm4	CHRM4
Slc30a10	SLC30A10
A1bg	A1BG
Dnm1	DNM1
Ugt8a	UGT8
	DNAJB6
Wwox	WWOX
Fgf11	FGF11
Tubg2	TUBG2
Mthfsd	MTHFSD
	AXIN2
Ncapg	NCAPG
Spaca4	SPACA4
Ccdc34	CCDC34
Snora23	SNORA23
Arrdc4	ARRDC4
	SHROOM4
	OTULINL
Cnn1	CNN1
1700034E13Rik	
Gopc	GOPC
Kbtbd13	KBTBD13
Camk1	CAMK1
Rnf2	RNF2
Mbl2	MBL2
Nmt1	NMT1
B230219D22Rik	C5orf24
Nptx1	NPTX1
D17H6S53E	C6orf47
Atp2b4	ATP2B4
Cdhr18	
Tmem82	TMEM82
Abhd10	ABHD10
Canx	CANX
Tsc2	TSC2
	ATAD1
Tomt	TOMT
Ksr1	KSR1
Ets1	ETS1
Psmb9	PSMB9
Poglut3	POGLUT3
Map3k1	MAP3K1
Sgpp2	SGPP2
2610008E11Rik	
Aco2	ACO2
Plgrkt	PLGRKT
	FOXR1
N6amt1	N6AMT1
Amer2	AMER2
	BCL2L10
Trim25	TRIM25
Ppp1r18	PPP1R18
Prss48	PRSS48
Gpr161	GPR161
Fat3	FAT3
1700018B08Rik	C16orf95
Agr3	AGR3
Plcg2	PLCG2
Npnt	NPNT
Tyms	TYMS
Fbxo17	FBXO17
Cyb5rl	CYB5RL
Nupl2	NUP42
Tex50	TEX50
Nfib	NFIB
Cebpg	CEBPG
Oacyl	
Tmem87a	TMEM87A
Amacr	AMACR
Gja3	GJA3
Galnt13	GALNT13
Tet1	TET1
Mtm1	MTM1
Dop1b	DOP1B
Tob2	TOB2
Slc7a10	SLC7A10
Anks1	ANKS1A
Irx5	IRX5
Rbm27	RBM27
Or5p66	OR5P2
Lamtor1	LAMTOR1
Or9s23	
Garem1	GAREM1
Dcst1	DCST1
Mir346	MIR346
Ltb	LTB
Pomc	POMC
Eny2	ENY2
	RNPEPL1
Mir147	MIR147B
Epha5	EPHA5
Capza3	CAPZA3
	PPFIBP2
4931406B18Rik	
Ubqln4	UBQLN4
Dipk2a	DIPK2A
	GEN1
Suco	SUCO
Or5p4	
Nkx2-5	NKX2-5
	OR7G1
Zfyve26	ZFYVE26
H2-Ob	HLA-DOB
Rnase4	RNASE4
Hmces	HMCES
Fbxo32	FBXO32
	STX16
	CTCFL
Marchf6	MARCHF6
C1ql3	C1QL3
Zfp868	ZNF700
Zfp868	ZNF563
Zfp868	ZNF44
Zfp868	ZNF442
Zfp868	ZNF433
Zfp868	ZNF441
Zfp868	ZNF823
Zfp868	ZNF799
Zfp868	ZNF443
Afm	AFM
Armc10	ARMC10
Tssk4	TSSK4
Shc2	
Tesk2	TESK2
Hgf	HGF
Smpd1	SMPD1
Adck1	ADCK1
Iqcd	IQCD
Trmt61a	TRMT61A
Adh6a	
Katnal1	KATNAL1
	NSUN4
Cfap77	CFAP77
Olig3	OLIG3
Mir490	MIR490
Nup153	NUP153
Or4n4b	
Or4n4b	OR4N4
Or4n4b	OR4N4C
Garin3	GARIN3
Zfp1	ZFP1
Clstn2	CLSTN2
Lyg1	LYG1
Pln	PLN
Pygo1	PYGO1
Lrrc8c	LRRC8C
Mir30c-1	MIR30C1
Sdk2	SDK2
	HAVCR1
	ATP5MG
	ATP5MGL
Otp	OTP
Trim50	TRIM50
	RGL2
Sae1	SAE1
Crisp4	CRISP1
Acp2	ACP2
Grin3b	GRIN3B
Dcaf11	DCAF11
Nmnat2	NMNAT2
Tmem185a	TMEM185A
Ciapin1	CIAPIN1
Svbp	SVBP
Cept1	CEPT1
C6	C6
Ccnk	CCNK
Ago2	AGO2
Mertk	MERTK
Zfp239	ZNF239
Yeats4	YEATS4
Cxxc4	CXXC4
Txndc8	TXNDC8
Ube2z	UBE2Z
Clk1	CLK1
Snrk	SNRK
Nup98	NUP98
Jagn1	JAGN1
Kif27	KIF27
Tmem255a	TMEM255A
P4ha2	P4HA2
Acss2	ACSS2
Dmtn	DMTN
Prpf4b	PRPF4B
Lrrc4b	LRRC4B
Fcrl1	FCRL1
Hadhb	HADHB
Arc	ARC
Ighm	IGHM
Or4d2b	OR4D2
Slc6a18	SLC6A18
	ANKRD13B
Stoml3	STOML3
Spopl	SPOPL
Gna12	GNA12
Sdc1	SDC1
Clstn3	CLSTN3
Tmem222	TMEM222
Psmc6	PSMC6
Letm1	LETM1
Usb1	USB1
	OR2A14
Bend5	BEND5
	APAF1
Lpcat2b	
Brd3	BRD3
	METTL6
Dgat2l6	DGAT2L6
Gpr137b	GPR137B
Eif3m	EIF3M
Prok2	PROK2
Celf3	CELF3
Tcte1	TCTE1
Msh4	MSH4
Cd83	CD83
	CDC34
Ap3b2	AP3B2
Apba3	APBA3
Donson	DONSON
Spx	SPX
Inpp5d	INPP5D
Igf2r	IGF2R
Myc	MYC
Tlr6	TLR6
Rtf2	RTF2
	EIF5A
	EIF5AL1
Foxa3	FOXA3
Mas1	MAS1
Klhdc8a	KLHDC8A
Slc33a1	SLC33A1
Tmem30b	TMEM30B
Zmym1	ZMYM1
Polr1g	POLR1G
Ints4	INTS4
	LARP1B
Tmco4	TMCO4
Dek	DEK
Vsig1	VSIG1
Ypel2	YPEL2
Fmo2	FMO2
Tnip3	TNIP3
Pcdhb14	
Hnrnpf	HNRNPF
Ccnjl	CCNJL
Trim38	TRIM38
Blcap	BLCAP
Nf2	NF2
Arih1	ARIH1
	OR2D2
Slc17a8	SLC17A8
Lta	LTA
	CEP350
Nkiras1	NKIRAS1
	OR10A5
	OR10A2
Irgc1	IRGC
Exosc4	EXOSC4
Accs	ACCS
Eif4e	
Keap1	KEAP1
Zc3h7b	ZC3H7B
B4galnt2	B4GALNT2
Igll1	
Ip6k3	IP6K3
Treml2	TREML2
Msmp	MSMP
Fbxo6	FBXO6
Gins1	GINS1
Spink13	SPINK13
Nub1	NUB1
Rps27a	RPS27A
Tbx4	TBX4
Ecel1	ECEL1
Atp5if1	ATP5IF1
Rnf24	RNF24
	VCAN
Tmem51	TMEM51
Kcne1	KCNE1
	DYNLT1
Fzd10	FZD10
Zfp180	ZNF180
Tmem63b	TMEM63B
	CPT1B
Saraf	SARAF
Elovl7	ELOVL7
Ltf	LTF
C1rl	C1RL
Klhl40	KLHL40
Or6b9	
Ak5	AK5
Wdr70	WDR70
H2-T24	
Rnf223	RNF223
Sfi1	SFI1
Gnat3	GNAT3
Coq5	COQ5
Ndufb10	NDUFB10
Gm2a	GM2A
Htr1a	HTR1A
Dcaf8	DCAF8
Klf4	KLF4
Pou1f1	POU1F1
Tmem201	TMEM201
Upk3bl	UPK3BL2
Upk3bl	UPK3BL1
Smad9	
Mutyh	MUTYH
Slc19a1	SLC19A1
Mfsd4a	MFSD4A
Otud6b	OTUD6B
Kbtbd11	KBTBD11
Odaph	ODAPH
Ier5	IER5
Agfg2	AGFG2
Lrp2	LRP2
Spata19	SPATA19
	IDH3A
Cdk5rap3	CDK5RAP3
Hnf4a	HNF4A
Or6b6	
Ezh1	EZH1
Swt1	SWT1
Impa1	IMPA1
Lcn4	LCN1
	GSTM1
Ube2d3	
Tmem212	TMEM212
Slc31a2	SLC31A2
Dgkq	DGKQ
	OR2AG2
Bco1	BCO1
Tmem204	TMEM204
Dchs1	DCHS1
Emc8	EMC8
	BCOR
Ap1g1	AP1G1
Tent4a	TENT4A
Nfil3	NFIL3
Cyp27b1	CYP27B1
Spag17	SPAG17
Or4d1	OR4D1
Schip1	SCHIP1
Parn	PARN
	RBBP4
Mast2	MAST2
Hcrt	HCRT
St6galnac2	ST6GALNAC2
	DBI
Sbno2	SBNO2
Wt1	WT1
Cacna1a	CACNA1A
Syncrip	SYNCRIP
Banp	BANP
Exosc6	EXOSC6
Fahd2a	FAHD2A
Adam9	ADAM9
Axin1	AXIN1
Col9a2	COL9A2
Plcl2	PLCL2
Cd3d	CD3D
	TRIM41
Fasl	FASLG
Tal2	TAL2
Zbtb12	ZBTB12
Zfp397	ZNF397
Bbln	BBLN
	LRRFIP1
Ceacam9	
Bhmt2	BHMT2
Slc46a1	SLC46A1
Ddx39b	DDX39B
Lox	LOX
Ly6l	LY6L
Ubac2	UBAC2
Dynlt5	DYNLT5
Slc36a1	SLC36A1
Dolk	DOLK
Ginm1	GINM1
St8sia4	ST8SIA4
Art3	ART3
Pwp1	PWP1
Inhbe	INHBE
Tecpr1	TECPR1
Psmc2	PSMC2
Rdh13	RDH13
Col18a1	COL18A1
Adam21	ADAM21
Ppp1r3b	PPP1R3B
Nsmaf	NSMAF
Tatdn2	TATDN2
Nup188	NUP188
	ARHGEF6
Adam18	ADAM18
Arap2	ARAP2
Klk8	KLK8
Pygo2	PYGO2
Nicn1	NICN1
Clstn1	CLSTN1
Rpl3l	RPL3L
Sds	SDS
Klhdc4	KLHDC4
Glod5	GLOD5
Ankrd39	ANKRD39
Itga2	ITGA2
Senp3	SENP3
Fat1	FAT1
Fhit	FHIT
Arhgap5	ARHGAP5
	ZFAND4
Uggt2	UGGT2
Hrh2	HRH2
Clcn5	CLCN5
Proser3	PROSER3
	ADGRV1
Gfod2	GFOD2
Six6	SIX6
Snai2	SNAI2
Mettl2	METTL2B
Mettl2	METTL2A
Nrn1	NRN1
Ccdc83	CCDC83
Rnf103	RNF103
Ro60	RO60
Ccdc28b	CCDC28B
	TSC22D3
Afg3l1	
Iqgap1	IQGAP1
Pdpk1	PDPK1
Kif21b	KIF21B
	LSM5
Smarca1	SMARCA1
Ddx41	DDX41
G3bp2	G3BP2
Tmem263	TMEM263
Bpifb5	
Strn	STRN
Slc12a6	SLC12A6
Dalrd3	DALRD3
Ppp1r3d	PPP1R3D
Sema6b	SEMA6B
Zfp563	
Fam204a	FAM204A
	CALML5
Ctxn2	CTXN2
	U2AF1L4
Cox4i1	COX4I1
Pmm2	PMM2
Crem	CREM
	CCDC43
Trim31	TRIM31
Hint2	HINT2
	CENPX
Nudc	NUDC
Arl15	ARL15
	TOMM20
Pctp	PCTP
	PRRC2C
	NOL8
Sec23a	SEC23A
Csnk2a2	CSNK2A2
Zbtb33	ZBTB33
Fyn	FYN
Rab30	RAB30
U2af2	U2AF2
Trpv1	TRPV1
Tom1	TOM1
Tars2	TARS2
	COX11
Caskin1	CASKIN1
Osr1	OSR1
	MIER2
Sdf2l1	SDF2L1
Nsdhl	NSDHL
Septin11	SEPTIN11
Dnai4	DNAI4
Caprin2	CAPRIN2
Csnk1g2	CSNK1G2
	ANKRD24
Tpmt	TPMT
Anxa6	ANXA6
Mpzl3	MPZL3
	NFASC
	C16orf96
Lrrc4c	LRRC4C
Ankrd13c	ANKRD13C
Pus7	PUS7
	FTL
Psmg2	PSMG2
Gnai3	GNAI3
Got1l1	GOT1L1
Hhat	HHAT
	CATIP
Pinx1	PINX1
Akap10	AKAP10
Grip1	GRIP1
Tnrc18	TNRC18
Fetub	FETUB
Tex37	SPMIP9
	ATXN2
Boll	BOLL
Saxo2	SAXO2
Tubal3	TUBAL3
Fahd1	FAHD1
Fam174b	FAM174B
Mybpc3	MYBPC3
Tert	TERT
Gtf3c4	GTF3C4
Pik3r1	PIK3R1
	USP7
Vps35	VPS35
Foxd3	FOXD3
Atoh8	ATOH8
Uhrf2	UHRF2
Slc2a12	SLC2A12
Tnnt3	TNNT3
Tmppe	TMPPE
Dnajc5g	DNAJC5G
Dolpp1	DOLPP1
Atrx	ATRX
Gnrh1	GNRH1
	NUDT4
	NUDT4B
Phlpp1	PHLPP1
Fam171a1	FAM171A1
Tacr2	TACR2
Mmp12	MMP12
Garin5b	GARIN5B
Cnot11	CNOT11
	EIF2S2
Ak3	AK3
Stc2	STC2
Hsd17b11	HSD17B11
	PTPN21
Clrn1	CLRN1
Smim7	SMIM7
Eda2r	EDA2R
Or3a1d	
Aig1	AIG1
Cd244a	CD244
Sema3f	SEMA3F
Dis3l	DIS3L
	OR4B1
Mrpl38	MRPL38
Znrf1	ZNRF1
Tnfrsf25	TNFRSF25
Nfe2l3	NFE2L3
Fam76b	FAM76B
Serpina9	SERPINA9
AA467197	C15orf48
Psme3ip1	PSME3IP1
Nipsnap1	NIPSNAP1
Ppa1	PPA1
Mterf2	MTERF2
Cblb	CBLB
Baiap2l1	BAIAP2L1
	ENOPH1
Clec14a	CLEC14A
Sf3b5	SF3B5
Zdhhc13	ZDHHC13
Ggn	GGN
	RNASEH2A
Mall	MALL
Ccdc102a	CCDC102A
L3hypdh	L3HYPDH
Trpc7	TRPC7
Il20rb	IL20RB
Tmem182	TMEM182
Usp28	USP28
Bag4	BAG4
Upk2	UPK2
Exosc2	EXOSC2
Grap2	GRAP2
Rtcb	RTCB
Igf2bp2	IGF2BP2
Pde4d	PDE4D
1700016H13Rik	C4orf36
Pde6d	PDE6D
Parp1	PARP1
Ccdc182	CCDC182
Foxh1	FOXH1
Gdf9	GDF9
Slc6a11	SLC6A11
Fkbp4	FKBP4
Spata1	SPATA1
Dnaaf3	DNAAF3
Or6a2	OR6A2
Slc5a6	SLC5A6
Spen	SPEN
Tmprss9	TMPRSS9
Sacm1l	SACM1L
	NDUFA5
Slc1a2	SLC1A2
Aimp2	AIMP2
Mrpl2	MRPL2
Kcnab1	KCNAB1
Slc7a15	
Zc3hav1	ZC3HAV1
Tob1	TOB1
Kcnd1	KCND1
Napa	NAPA
Ercc6	ERCC6
Myof	MYOF
Atxn10	ATXN10
Cfap91	CFAP91
Carhsp1	CARHSP1
Ikbke	IKBKE
Foxred1	FOXRED1
Bmyc	MYC
Tex13a	TEX13B
Fa2h	FA2H
Tvp23b	TVP23B
Tvp23b	TVP23C
Aar2	AAR2
Dus3l	DUS3L
Tldc2	TLDC2
Ptbp1	PTBP1
Dohh	DOHH
Poglut1	POGLUT1
Gabra3	GABRA3
	WDR83OS
Ffar1	FFAR1
Hip1	HIP1
Prkar2a	PRKAR2A
Klk11	KLK11
Utp11	UTP11
Ammecr1l	AMMECR1L
Zbed4	ZBED4
Gfral	GFRAL
	C12orf76
Kctd12	KCTD12
Depdc1a	DEPDC1
Ccndbp1	CCNDBP1
Scara3	SCARA3
Rab12	RAB12
Kdm6a	KDM6A
Aida	AIDA
Sucla2	SUCLA2
Sult5a1	SULT1A2
Sult5a1	SULT1A1
Sult5a1	SULT1A3
Sult5a1	SULT1A4
Cldn4	
Sftpd	SFTPD
Defb14	DEFB103B
Defb14	DEFB103A
	LCA5
Mrpl49	MRPL49
	SH3GLB1
	C19orf53
Fgd3	FGD3
Kcnv1	KCNV1
Pold2	POLD2
	PRELID1
Eif2d	EIF2D
Sphk2	SPHK2
Cox7a2	COX7A2
Mcm3ap	MCM3AP
Gpat2	GPAT2
Sirt1	SIRT1
Nanos3	NANOS3
Tssk6	TSSK6
	HOXA4
	MYO1E
Ptprt	PTPRT
Dffb	DFFB
Nynrin	NYNRIN
Ttc21a	TTC21A
Rab28	RAB28
Atp8b1	ATP8B1
	GPATCH4
Hoxb13	HOXB13
Cdcp2	CDCP2
Tmprss11c	
Ndufs4	NDUFS4
Slc43a2	SLC43A2
Cib3	CIB3
Mybpc1	MYBPC1
Cpne5	CPNE5
	MKS1
Smarcad1	SMARCAD1
Sclt1	SCLT1
Ptpn14	PTPN14
	NACA
Gabrb3	GABRB3
Ube2ql1	UBE2QL1
Vav3	VAV3
	RTP4
Mrpl33	MRPL33
Wnt11	WNT11
Ppil1	PPIL1
Spata17	SPATA17
Sstr4	SSTR4
Rsad1	RSAD1
Dgkz	DGKZ
Angptl7	ANGPTL7
Pdcd6	
Pla2g2e	PLA2G2E
	PSMA1
	GSDMC
Ppp2r5e	PPP2R5E
Tpbgl	TPBGL
Slc6a17	SLC6A17
Ccdc153	CCDC153
Aadacl3	AADACL3
Txndc12	TXNDC12
Lypd5	LYPD5
Cx3cr1	CX3CR1
Cd3g	CD3G
Or2ag2	OR2AG2
Orai2	ORAI2
Heph	HEPH
Actl6b	ACTL6B
Gpr88	GPR88
Dctn6	DCTN6
Iqgap3	IQGAP3
Aadacl4fm4	AADACL4
Nog	NOG
Actr2	ACTR2
Ddx39a	DDX39A
Kcnn4	KCNN4
Cacna1b	CACNA1B
Hcrtr2	HCRTR2
Folr2	FOLR2
Prxl2b	PRXL2B
Cldnd2	CLDND2
	ERGIC3
Ffar3	FFAR3
Ffar3	GPR42
Tm9sf2	TM9SF2
Tll1	TLL1
Fnip1	FNIP1
Dctn1	DCTN1
Nudt9	NUDT9
Trpm1	TRPM1
Lrfn2	LRFN2
Mcpt8	
Snapin	SNAPIN
Clec12a	CLEC12A
Crisp2	CRISP2
	TSPAN17
Nme3	NME3
Cdc37	CDC37
Insl3	INSL3
Rtca	RTCA
Sfn	SFN
Klre1	KLRC1
Klre1	KLRC3
Klre1	KLRC2
Klre1	KLRC4
Ikbkg	IKBKG
Lrrc75a	LRRC75A
Fars2	FARS2
Igfbp4	IGFBP4
	TIMM10B
Mak16	MAK16
Polr1a	POLR1A
Arhgdia	ARHGDIA
Ube2d2b	
	GTF2IRD1
Pbxip1	PBXIP1
Zc3h10	ZC3H10
Zbed5	SCAND3
	SPATA6
Ift52	IFT52
Exo5	EXO5
Cdh6	CDH6
Pex11g	PEX11G
	BRCA1
Mical2	MICAL2
Acbd3	ACBD3
	HYLS1
	PSAT1
Or13c7	
L3mbtl2	L3MBTL2
Ldhb	LDHB
Bag2	BAG2
	SFT2D1
Klhdc10	KLHDC10
Edem1	EDEM1
Stx4a	STX4
Erf	ERF
Ttbk1	TTBK1
Prorsd1	
	SNAPC3
Dhrs7l	DHRS7
	PPIP5K2
Poln	POLN
Bnipl	BNIPL
Cldn3	CLDN3
Htr7	HTR7
	LRRC15
Khdrbs3	KHDRBS3
	C2orf92
Tmod1	TMOD1
Cox7b	COX7B
Or2ag1	OR2AG2
Satb2	SATB2
Creb3l2	CREB3L2
	G6PD
Large2	LARGE2
Stap2	STAP2
Rbms1	RBMS1
Dipk1b	DIPK1B
Insl6	INSL6
Acrv1	ACRV1
	OR13C7
Grm2	GRM2
Atp11a	ATP11A
Ip6k2	IP6K2
Plekha1	PLEKHA1
2610318N02Rik	
Zfp516	ZNF516
Sh3gl3	SH3GL3
Stag1	STAG1
Cd4	CD4
Rars	RARS1
Kif2b	KIF2B
Cwh43	CWH43
	NDE1
Plk4	PLK4
Gnb5	GNB5
Jak2	JAK2
Pcdh17	PCDH17
Fst	FST
Gins3	GINS3
L1cam	L1CAM
Chst15	CHST15
Plcd1	PLCD1
	ECSIT
Ffar2	FFAR2
Sgpl1	SGPL1
	MED28
	PCGF2
Pla2g15	PLA2G15
	ICA1
Zfp668	ZNF668
Rbm11	RBM11
	PRKACG
Soat1	SOAT1
	FBXO33
Ppp1r37	PPP1R37
Prox2	PROX2
S1pr4	S1PR4
Litafd	LITAFD
Sgsm3	SGSM3
Rln1	RLN1
Rln1	RLN2
Oxsm	OXSM
Pdcd2l	PDCD2L
Trp63	TP63
Layn	LAYN
Bud13	BUD13
	FEM1A
Mrtfb	MRTFB
Pcdh18	PCDH18
Atpaf1	ATPAF1
Cebpz	CEBPZ
	RAB11FIP1
Pard6a	PARD6A
	SMARCA2
Znrf4	ZNRF4
Itgax	ITGAX
	RAPH1
Mipol1	MIPOL1
Ensa	ENSA
	GET1
	DST
Csrp3	CSRP3
Hibch	HIBCH
Pcdhga8	PCDHGA8
Lnpep	LNPEP
Slc10a5	SLC10A5
Zbtb2	ZBTB2
Recql4	RECQL4
Exosc9	EXOSC9
Hnrnpl	HNRNPL
Abtb1	ABTB1
	BUD23
	NR5A2
Cstpp1	CSTPP1
Eri3	ERI3
	RPL6
	SYTL5
Slc23a2	SLC23A2
Ccdc170	CCDC170
Fam163b	FAM163B
St7	ST7
Insm1	INSM1
Nqo1	NQO1
Snapc5	SNAPC5
	RBM3
Gpbp1	GPBP1
Rab22a	RAB22A
Apbb2	APBB2
Exoc1l	EXOC1L
Tacc3	TACC3
Rala	RALA
Cdk5r2	CDK5R2
Lrrc40	LRRC40
G3bp1	G3BP1
Spink5	SPINK5
Nr1h3	NR1H3
Nr2f1	NR2F1
Secisbp2	SECISBP2
Nlgn1	NLGN1
Haghl	HAGHL
Cox6a2	COX6A2
Scp2d1	SCP2D1
Mfn2	MFN2
Trappc13	TRAPPC13
Fgf13	FGF13
Slc49a3	SLC49A3
Rsad2	RSAD2
St8sia6	ST8SIA6
Aldh16a1	ALDH16A1
Exosc3	EXOSC3
Thrb	THRB
Pitrm1	PITRM1
	MAP1B
	AURKA
Tas1r2	TAS1R2
	PRSS1
	PRSS3
	PRSS2
Ermp1	ERMP1
	P2RX5
	EIF4G1
Wdr11	WDR11
Gpr141	GPR141
Adgre4	
Dnali1	DNALI1
Rapsn	RAPSN
	PLIN1
Dact1	DACT1
Tmem102	TMEM102
Myo19	MYO19
Ddx5	DDX5
Acsl6	ACSL6
Psmd5	PSMD5
Cops7b	COPS7B
Defb42	DEFB136
Upf3b	UPF3B
Ndufv2	NDUFV2
Lif	LIF
Mettl17	METTL17
	RSPH10B2
	RSPH10B
Cep295nl	CEP295NL
	HECA
Elmo2	ELMO2
Or8c9	
Tbl3	TBL3
Trmt6	TRMT6
Abcc10	ABCC10
Smpd2	SMPD2
Mcm2	MCM2
Mmp15	MMP15
Orc6	ORC6
	DEFA3
	DEFA1
	DEFA5
	DEFA4
	DEFA6
	DEFA1B
Kcnv2	KCNV2
Grwd1	GRWD1
Ugcg	UGCG
Trim44	TRIM44
Hnf4g	HNF4G
Tomm34	TOMM34
Cyp4f14	CYP4F2
	CYSLTR2
Ces1g	CES1
	ME2
Phka1	PHKA1
Odf3b	CIMAP1B
	CDK8
Wdr1	WDR1
Taf6	TAF6
Stard8	STARD8
Rnpep	RNPEP
Sgpp1	SGPP1
Prkar1b	PRKAR1B
Prim1	PRIM1
	RFC5
Ric1	RIC1
	ICE1
Snrpa	SNRPA
Rnf224	RNF224
	C12orf50
Eea1	EEA1
Neurod6	NEUROD6
	ACOT9
Cmtr2	CMTR2
Dmxl2	DMXL2
Spaca5	SPACA5
Spaca5	SPACA5B
Actb	ACTB
Slc47a2	
Reep4	REEP4
Tbx22	TBX22
Stat3	STAT3
	GDPD1
Creb5	CREB5
Ezh2	EZH2
Ckmt2	CKMT2
Klk6	KLK6
Drd5	DRD5
1190005I06Rik	C16orf74
Mpl	MPL
Caln1	CALN1
Rhbdl1	RHBDL1
	TMEM184C
	POLM
Prss53	PRSS53
Mfsd2a	MFSD2A
Vamp3	VAMP3
Zswim6	ZSWIM6
Lgr4	LGR4
Slc25a48	SLC25A48
Cd274	CD274
Ccin	CCIN
Slc2a10	SLC2A10
Lama4	LAMA4
Ivns1abp	IVNS1ABP
Isy1	ISY1
Car9	CA9
Dguok	DGUOK
Ano8	ANO8
Rpp30	RPP30
Smim33	SMIM33
	SNRPF
Arhgdig	ARHGDIG
	FRY
Castor2	CASTOR2
Alpl	ALPL
Dusp1	DUSP1
Naalad2	NAALAD2
Ciao2b	CIAO2B
Prkca	PRKCA
Plk5	PLK5
Hapln1	HAPLN1
Zfp583	ZNF583
Mgat4d	MGAT4D
C1qtnf2	C1QTNF2
Ripk3	RIPK3
Helb	HELB
Ntf5	NTF4
	MARVELD2
Vkorc1l1	VKORC1L1
Ambra1	AMBRA1
Vwa5b2	VWA5B2
Chodl	CHODL
Cryl1	CRYL1
Lipk	LIPK
	RPL31
Pigt	PIGT
Or2a25	OR2A25
Hnrnpd	HNRNPD
Srsf11	SRSF11
Ikzf3	IKZF3
Edar	EDAR
Tmed1	TMED1
St3gal4	ST3GAL4
Spesp1	SPESP1
Scube3	SCUBE3
Vamp2	VAMP2
Tex51	TEX51
Hnrnpu	HNRNPU
	DPM3
	NLRP9
Syvn1	SYVN1
Maff	MAFF
Cdc37l1	CDC37L1
Pak3	PAK3
Pik3c3	PIK3C3
Ptafr	PTAFR
Zfp329	ZNF329
Ctsj	
Rab26	RAB26
Spi1	SPI1
Or7d10	OR7D4
Plin2	PLIN2
Il13	IL13
Polg2	POLG2
Cenpc1	CENPC
Hsd3b7	HSD3B7
Rab11fip5	RAB11FIP5
Slc41a2	SLC41A2
Pex19	PEX19
Car4	CA4
Cul1	CUL1
H13	HM13
	MRPS21
Hcar1	HCAR1
Erp27	ERP27
Gli2	GLI2
Ccng1	CCNG1
Fas	FAS
Inhca	
Myo18b	MYO18B
Pgam5	PGAM5
Ccdc12	CCDC12
	CNOT6L
Acsl1	ACSL1
Ccdc146	CCDC146
Vipr1	VIPR1
Sox14	SOX14
Cenpp	CENPP
Ddx6	DDX6
Ppp6r2	PPP6R2
Timp1	TIMP1
Or8b3	OR8B3
Or8b3	OR8B2
Ankrd10	ANKRD10
Zfp207	ZNF207
Aif1l	AIF1L
Cc2d1b	CC2D1B
Chsy3	CHSY3
Igfbp7	IGFBP7
Lcat	LCAT
Dab1	DAB1
Wdfy3	WDFY3
Zdhhc3	ZDHHC3
Slc51a	SLC51A
Xpr1	XPR1
Or10d3	OR10D3
Dmrt3	DMRT3
Il1rapl2	IL1RAPL2
Caprin1	CAPRIN1
Ccng2	CCNG2
Rgs8	RGS8
Crls1	CRLS1
Lhpp	LHPP
Gmeb1	GMEB1
Cfap221	CFAP221
Tube1	TUBE1
Cfap69	CFAP69
Scarb1	SCARB1
Tomm40	TOMM40
	RSRC2
Rcl1	RCL1
	HLA-DMB
Or8b42	
Colec12	COLEC12
Bambi	BAMBI
	ZNF274
	ZNF713
Rars2	RARS2
Lemd2	LEMD2
Enkd1	ENKD1
	TIAL1
Ripk2	RIPK2
Emilin2	EMILIN2
Cldn23	CLDN23
	GATA1
Rgsl1	RGSL1
Tbxas1	TBXAS1
Cyp1a2	CYP1A2
	SETSIP
Spag4	SPAG4
	OR8G1
	OR8G5
Btn2a2	BTN2A2
Cep104	CEP104
Bcl7c	BCL7C
Ptar1	PTAR1
Abhd12	ABHD12
Fam193b	FAM193B
Ttc39b	TTC39B
	API5
Sprr1b	
Wrap53	WRAP53
Blm	BLM
Fgf23	FGF23
